variant_id,source_variant_id,status
e8f78bac-fec8-4cc1-ad5e-d18cd93bec6f,39688616247458,archived
8a37cf3a-3cc3-4cda-bbe6-882a1d76b0ed,39688710357154,archived
15b71e7e-0bfc-4ffa-ac76-5338d019c0b5,39688766095522,archived
d041d737-7304-46fc-9731-2606207caaf2,39724186927266,archived
f43fb6a7-ca2f-4416-abf1-f7be744946d0,39724425576610,archived
a2549c2d-484e-4a96-b713-dad32118368f,39860844036258,archived
026de069-7fe4-41ca-b424-c9e109996337,39860921401506,archived
6812a9fd-68ba-4624-98a1-0c22394dedcb,39861031862434,archived
76383130-7529-47f6-9759-c25ae575a3cf,40195181215906,archived
4a16da5e-8ed5-46ff-867f-bad2b91c9053,40628945322146,archived
47b1899b-34f7-441a-90cf-bcee96db502c,40638855512226,archived
2ec743ac-958c-46a3-8190-3efd12585a41,40638861574306,archived
74be71e1-069f-46ff-94d6-538bec1a18fd,40734465261730,archived
df4fff1b-fd37-4fd2-b7d9-8af39c0cf270,40734485053602,archived
7d1dc6b5-4b54-44a1-8402-04d05e01a8a8,40833304527010,archived
bfb43ff4-6132-4425-8bdd-2fd52b563f3f,40833351811234,archived
85ec9ce8-5449-42f7-adc6-d1ca38d187dd,41025771405474,archived
6f6f4d53-0dd9-4c3b-bdf1-1b5be557dd83,42361987268836,archived
5ac5250e-7431-4f9d-a268-fbd39ac5ffcb,42362233684196,archived
31d58637-9603-49e1-9c9b-26e8f783142e,42399411372260,archived
f1a6ec9a-2e59-4bb0-9685-2d59dceac679,42399443026148,archived
6041e9e6-e23f-4744-9d75-f6b45a43851e,42399645368548,archived
88e2355d-e8ad-4776-936b-5aff4cbf28df,42399667585252,archived
8f52547d-c601-4979-a2b9-805fd2334f62,42399696093412,archived
493741e5-a0a0-4401-8c70-ea8bdae77daf,42399703793892,archived
2c7c7574-a051-4ead-bf65-51bfcff895dd,42400082067684,archived
de66e9a4-d073-45f0-b4ae-83bbb0b59100,42400234275044,archived
69d60d88-f41e-467a-8b1e-961c58a3a2ac,42400399491300,archived
e9e2c7d7-b446-46e3-a7ae-8614ad05b707,42410835804388,archived
0fc5d93e-b8eb-4e70-837a-a21e7c50801d,42410835837156,archived
7408a03c-f281-437e-b32c-b4760bd59a9c,42411380474084,archived
db273720-5659-4f10-a94f-e1639641fa81,42411380506852,archived
6a076b08-5ba0-410b-8e93-b0341a11d0eb,42546159157476,archived
65689361-648f-4fc4-8018-31c8e28e158f,42546171969764,archived
5fb41af4-7b4c-4df0-bdd6-9a21ad95181b,42546182160612,archived
d68764c0-082d-4c91-bc97-07a6c4db3614,42546193694948,archived
d016df8d-8c3f-418c-afe8-e3f9728c41a4,42546201395428,archived
e75f4cc6-e5e9-4213-a2cc-ab5d0d15d576,42546204672228,archived
e310670c-6cb9-4fca-878b-067bbc0fda9e,42546209554660,archived
55298ab9-a980-47ca-951a-f443f34e803d,42681030836452,archived
17f69bf4-07d8-423d-9c77-17686202c604,42687307088100,archived
88b7f765-f1a1-4e67-ae43-29dba7c7cad4,42687307120868,archived
b667c40d-fe3a-43f6-ac0e-ca712d00790c,42717374644452,archived
31ff325a-8c15-4848-a94b-9383dcdc605e,43017277538532,archived
5ab8500e-85e2-4d2e-876e-532cda49379b,43017478209764,archived
5d554133-022a-45f4-a602-6f55ffba5ad5,43017638019300,archived
9c88d70d-1e99-46b8-969e-343a5e97ba16,43017697165540,archived
0e7c75bf-39ec-4c43-854b-c09956dd63cc,43017839182052,archived
f58aa9bb-fdf9-40c5-9053-95169d831c45,43017877324004,archived
7f38517d-14cf-48bd-812f-dc6e85b80bea,43373791445220,archived
218ebcf9-cd46-460d-a443-2d199de39b2c,43373876248804,archived
10f734fe-989a-4f3f-94e7-4601137d7c51,43373954924772,archived
8cda5bb8-65d0-406e-bf1a-ebd306913516,43373954990308,archived
83b0cbb4-ed91-4338-8a74-465217f7e362,43373955088612,archived
2951bf88-b8db-418e-9cf3-a02ce3b41b27,43374017708260,archived
84ef761a-fe37-4f61-bfc8-2f987fe9acc0,43822921548004,archived
2356583f-da62-484e-b7b8-9a78be2ce1a2,43896513036516,archived
d00501eb-9416-4bf3-ad88-c548bb384ae8,43896515526884,archived
dd9f4a32-8806-451a-bf3b-0cc1c5ff0407,43896519491812,archived
618a7983-1205-476f-afd9-b93256ef09c6,43896523030756,archived
0a877361-4745-4839-84d8-f7975d8edadf,43896525258980,archived
c8b6e833-aa00-4294-866d-9f04f7db3ac8,43896527061220,archived
9e437645-e83e-43f1-bf06-f3a78456267c,43896532599012,archived
b4df0749-a417-42c1-bcb5-594b4962f87c,43896533123300,archived
b4220d2d-8df8-455b-ab3a-21e7b4f7e29c,43928154702052,archived
d7f6dae3-6651-47a9-9640-57c241bbcc4f,43928158994660,archived
5fbb7337-c978-4560-ba57-e4abbd1ea8a8,43989792784612,archived
c147dbda-a526-4a92-a477-8310b1cc7b98,43989792817380,archived
ef0eee9a-280d-4e55-9aae-6e1cd8b2c479,43989792850148,archived
6ee38abd-609b-4c3a-9956-1fdc1405b327,43989792882916,archived
721346ce-b926-4db0-b66f-bb7ef5fb6494,44021274968292,archived
af5513af-1aab-44f0-9d7d-e52f4a1236d7,44030076682468,archived
a6ea2445-c261-4395-bfe3-b46f1297baba,44160587137252,archived
fdf892fe-2089-4521-a7ff-9c1b596d6112,44160590708964,archived
c3b70ffd-8095-4104-9288-ddbb1c901e8c,44160596672740,archived
7a016a6e-9cf0-4813-9e73-038eba605a69,44160599195876,archived
